b010 WMI_ROAM_BTM_CONFIG_CMDID
1d010 WMI_UPDATE_VDEV_RATE_STATS_EVENTID
3f003 WMI_MOTION_DET_START_STOP_CMDID
6007 WMI_PEER_REMOVE_WDS_ENTRY_CMDID
1d011 WMI_TRANSFER_DATA_TO_FLASH_CMDID
3f004 WMI_MOTION_DET_BASE_LINE_START_STOP_CMDID
6008 WMI_PEER_MCAST_GROUP_CMDID
1d012 WMI_OCB_SET_SCHED_EVENTID
6009 WMI_PEER_INFO_REQ_CMDID
1d013 WMI_DEBUG_MESG_FLUSH_COMPLETE_EVENTID
1d014 WMI_DBGLOG_TIME_STAMP_SYNC_CMDID
1d015 WMI_SET_MULTIPLE_MCAST_FILTER_CMDID
1d016 WMI_PDEV_UTF_SCPC_EVENTID
21002 WMI_RESMGR_SET_CHAN_TIME_QUOTA_CMDID
1d017 WMI_READ_DATA_FROM_FLASH_EVENTID
21003 WMI_RESMGR_SET_CHAN_LATENCY_CMDID
1d018 WMI_RUNTIME_DPD_RECAL_CMDID
1d019 WMI_GET_TPC_POWER_CMDID
500a WMI_VDEV_WNM_SLEEPMODE_CMDID
500b WMI_VDEV_WMM_ADDTS_CMDID
500c WMI_VDEV_GET_MWS_COEX_STATE_EVENTID
500d WMI_VDEV_GET_MWS_COEX_DPWB_STATE_EVENTID
500e WMI_VDEV_SET_GTX_PARAMS_CMDID
500f WMI_VDEV_IPSEC_NATKEEPALIVE_FILTER_CMDID
3c001 WMI_WLM_CONFIG_CMDID
26001 WMI_BATCH_SCAN_ENABLE_CMDID
22001 WMI_STA_SMPS_FORCE_MODE_COMPLETE_EVENTID
26002 WMI_BATCH_SCAN_RESULT_EVENTID
22002 WMI_STA_SMPS_PARAM_CMDID
26003 WMI_BATCH_SCAN_TRIGGER_RESULT_CMDID
600a WMI_PEER_STA_PS_STATECHG_EVENTID
600b WMI_PEER_SET_RATE_REPORT_CONDITION_CMDID
600c WMI_PEER_UPDATE_WDS_ENTRY_CMDID
600d WMI_PEER_RESERVED1_EVENTID
600e WMI_PEER_RESERVED2_EVENTID
600f WMI_PEER_RESERVED3_EVENTID
1d01a WMI_IDLE_TRIGGER_MONITOR_CMDID
1d01b WMI_UNIT_TEST_EVENTID
1d01c WMI_SAR2_RESULT_EVENTID
1d01d WMI_GET_TPC_POWER_EVENTID
1d01e WMI_MUEDCA_PARAMS_CONFIG_EVENTID
3d001 WMI_11K_OFFLOAD_REPORT_CMDID
1d01f WMI_GET_ELNA_BYPASS_EVENTID
3d002 WMI_11K_INVOKE_NEIGHBOR_REPORT_CMDID
27001 WMI_OEM_REQ_CMDID
23001 WMI_HB_SET_ENABLE_CMDID
27002 WMI_OEM_MEASUREMENT_REPORT_EVENTID
23002 WMI_HB_SET_TCP_PARAMS_CMDID
23003 WMI_HB_SET_TCP_PKT_FILTER_CMDID
27003 WMI_LPI_OEM_REQ_CMDID
27004 WMI_OEM_DMA_RING_CFG_REQ_CMDID
23004 WMI_HB_SET_UDP_PARAMS_CMDID
27005 WMI_OEM_DMA_RING_CFG_RSP_EVENTID
23005 WMI_HB_SET_UDP_PKT_FILTER_CMDID
27006 WMI_OEM_DMA_BUF_RELEASE_EVENTID
23006 WMI_HB_OIC_PING_OFFLOAD_PARAM_CMDID
23007 WMI_HB_OIC_PING_OFFLOAD_SET_ENABLE_CMDID
23008 WMI_HB_DHCP_LEASE_RENEW_OFFLOAD_CMDID
3e001 WMI_TWT_ENABLE_CMDID
3e002 WMI_TWT_DISABLE_CMDID
3e003 WMI_TWT_ADD_DIALOG_CMDID
3e004 WMI_TWT_DEL_DIALOG_CMDID
3e005 WMI_TWT_PAUSE_DIALOG_COMPLETE_EVENTID
3e006 WMI_TWT_RESUME_DIALOG_COMPLETE_EVENTID
28001 WMI_NAN_EVENTID
3e007 WMI_TWT_BTWT_INVITE_STA_COMPLETE_EVENTID
24001 WMI_RMC_SET_MODE_CMDID
